loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
75,2,Graduate,No,768000,5000000,10,609,1375000,600000,2318000,114000,Rejected
76,2,Graduate,No,1097000,5000000,25,602,844000,2454000,3375000,1268000,Rejected
77,2,Not Graduate,No,530000,2282000,20,680,695000,1034000,1942000,850000,Approved
78,4,Graduate,No,776000,3415000,15,574,292000,1011000,2825000,489000,Rejected
79,4,Graduate,Yes,1051000,5000000,20,458,434000,217000,521000,1247000,Rejected
80,0,Graduate,No,572000,3676000,20,685,1476000,630000,307000,925000,Rejected
81,1,Graduate,No,942000,5000000,20,694,2256000,777000,1919000,100000,Approved
82,0,Not Graduate,Yes,455000,3301000,15,633,440000,299000,1092000,321000,Rejected
83,3,Graduate,No,553000,3499000,20,552,1761000,890000,1345000,355000,Rejected
84,0,Graduate,No,546000,4227000,5,658,1366000,1258000,1090000,797000,Rejected
85,4,Graduate,No,322000,989000,10,526,443000,118000,1264000,434000,Rejected
86,0,Graduate,No,961000,5000000,20,563,1542000,1782000,2004000,1597000,Rejected
87,2,Not Graduate,Yes,516000,1231000,15,586,638000,802000,1934000,578000,Rejected
88,1,Not Graduate,No,706000,3766000,5,722,2088000,1177000,2791000,349000,Rejected
89,2,Graduate,No,957000,2432000,10,619,1800000,2022000,1753000,856000,Rejected
90,2,Not Graduate,No,936000,5000000,15,612,686000,879000,582000,770000,Approved
91,3,Graduate,No,1079000,4684000,20,816,1020000,1563000,1479000,1459000,Approved
92,2,Graduate,No,657000,1636000,15,680,821000,455000,984000,1255000,Approved
93,2,Graduate,No,532000,3133000,20,679,846000,378000,1896000,501000,Rejected
94,3,Graduate,No,665000,4247000,25,619,1461000,853000,2561000,862000,Rejected
95,4,Graduate,No,234000,713000,15,599,792000,4000,178000,93000,Rejected
96,3,Not Graduate,Yes,273000,1683000,20,464,311000,169000,49000,319000,Rejected
97,3,Graduate,No,296000,910000,10,732,400000,112000,989000,435000,Approved
98,2,Graduate,No,366000,1034000,15,688,138000,110000,834000,563000,Rejected
99,4,Not Graduate,No,908000,2619000,10,635,1355000,873000,2751000,1769000,Approved
100,2,Not Graduate,No,389000,2176000,5,638,957000,101000,542000,769000,Approved
101,4,Graduate,No,547000,3650000,5,713,1850000,211000,393000,577000,Rejected
102,3,Graduate,No,1629000,5000000,10,518,4347000,2723000,1844000,2815000,Rejected
103,0,Not Graduate,No,555000,3805000,20,600,376000,904000,160000,826000,Rejected
104,0,Graduate,No,1131000,5000000,20,553,3561000,2672000,1815000,1214000,Rejected
105,3,Graduate,No,382000,2591000,25,801,1140000,879000,186000,41000,Approved
106,3,Graduate,Yes,612000,4810000,20,724,554000,1337000,1168000,1197000,Approved
107,2,Graduate,No,377000,1638000,20,463,1240000,651000,1213000,728000,Rejected
108,5,Graduate,Yes,562000,1630000,10,521,1453000,375000,161000,596000,Rejected
109,2,Not Graduate,Yes,1209000,3400000,20,639,3391000,538000,4349000,872000,Rejected
110,1,Graduate,No,228000,1273000,15,610,403000,541000,132000,61000,Rejected
111,2,Not Graduate,Yes,928000,4902000,25,537,874000,2226000,2467000,146000,Rejected
112,0,Graduate,Yes,817000,2537000,25,815,2334000,1030000,848000,1321000,Approved
113,2,Graduate,No,476000,3471000,10,677,870000,653000,1616000,404000,Rejected
114,4,Graduate,No,273000,2113000,20,690,927000,4000,38000,313000,Approved
115,0,Graduate,No,734000,2583000,20,591,580000,273000,1280000,468000,Rejected
116,4,Graduate,No,496000,1608000,20,711,713000,677000,1910000,619000,Approved
117,3,Not Graduate,No,814000,2673000,10,618,2160000,370000,440000,1245000,Approved
118,0,Graduate,No,710000,3070000,20,626,1513000,850000,2177000,1272000,Rejected
119,4,Graduate,No,1983000,5000000,20,702,3344000,3941000,5818000,2017000,Approved
120,3,Graduate,No,599000,3340000,15,512,1525000,1199000,806000,381000,Rejected
121,2,Graduate,No,360000,866000,20,786,953000,775000,121000,72000,Approved
122,1,Graduate,No,787000,3807000,10,666,1690000,464000,2636000,1350000,Approved
123,1,Graduate,No,808000,2054000,25,759,1067000,872000,2932000,1385000,Approved
124,2,Graduate,Yes,1693000,5000000,10,559,3860000,2653000,1013000,1251000,Rejected
125,1,Not Graduate,No,1205000,5000000,10,572,2464000,1751000,4105000,547000,Approved
126,1,Not Graduate,No,883000,5000000,15,551,2519000,2205000,2958000,1204000,Rejected
127,4,Graduate,No,1812000,5000000,20,671,4333000,1252000,4259000,2764000,Approved
128,3,Graduate,No,323000,2341000,20,656,610000,58000,1019000,471000,Approved
129,3,Graduate,Yes,462000,969000,5,611,166000,448000,117000,87000,Approved
130,5,Graduate,No,383000,2545000,10,564,320000,496000,779000,754000,Rejected
131,0,Not Graduate,No,543000,1160000,20,542,748000,526000,2102000,604000,Rejected
132,1,Graduate,No,286000,1094000,15,646,636000,228000,893000,354000,Rejected
133,3,Not Graduate,No,1058000,5000000,5,610,3000000,680000,1212000,146000,Rejected
134,2,Graduate,No,606000,3722000,25,592,2043000,648000,1534000,44000,Rejected
135,0,Not Graduate,No,269000,816000,10,782,597000,463000,250000,80000,Approved
136,3,Not Graduate,No,362000,1790000,20,643,953000,135000,350000,294000,Rejected
137,0,Not Graduate,No,858000,5000000,15,758,1964000,1857000,719000,1624000,Approved
138,2,Not Graduate,No,1207000,5000000,20,605,2024000,1935000,1015000,1774000,Rejected
139,2,Graduate,Yes,2563000,5000000,20,671,5769000,688000,5247000,5122000,Approved
140,2,Graduate,Yes,4652000,5000000,15,645,7360000,274000,6086000,6400000,Approved
141,1,Graduate,No,916000,4578000,20,506,1605000,118000,2871000,224000,Rejected
142,0,Not Graduate,No,368000,1074000,25,771,1183000,83000,1320000,517000,Approved
143,4,Not Graduate,No,175000,400000,20,639,368000,282000,350000,228000,Rejected
144,4,Graduate,No,833000,4657000,15,713,518000,1959000,705000,1481000,Approved
145,2,Not Graduate,No,413000,2751000,15,586,816000,138000,1649000,459000,Rejected
146,0,Graduate,No,534000,1184000,25,636,1789000,380000,151000,282000,Rejected
147,2,Graduate,No,470000,3150000,5,576,291000,1017000,1054000,695000,Rejected
148,1,Graduate,No,639000,3986000,5,755,2178000,808000,611000,971000,Approved
149,1,Graduate,No,1400000,5000000,10,676,4845000,1495000,5260000,1474000,Rejected
150,0,Graduate,No,775000,2688000,20,681,1623000,917000,1060000,182000,Approved
151,0,Not Graduate,No,631000,2752000,10,765,861000,160000,2421000,541000,Approved
152,1,Graduate,No,357000,971000,15,748,117000,196000,1390000,603000,Approved
153,1,Graduate,No,236000,810000,20,715,83000,568000,892000,152000,Approved
154,3,Graduate,No,510000,1947000,10,529,786000,820000,1628000,753000,Rejected
155,2,Graduate,Yes,676000,2648000,15,591,1897000,484000,2022000,368000,Rejected
156,2,Graduate,No,2209000,5000000,15,565,7324000,5230000,8429000,1526000,Approved
157,0,Not Graduate,No,762000,2387000,10,712,606000,757000,741000,539000,Approved
158,4,Graduate,No,1326000,5000000,25,665,2467000,467000,4321000,417000,Rejected
159,0,Not Graduate,No,506000,3392000,10,532,964000,1221000,275000,372000,Rejected
160,1,Not Graduate,No,324000,1318000,20,634,491000,539000,490000,473000,Approved
161,2,Not Graduate,No,374000,2875000,15,523,758000,704000,624000,311000,Rejected
162,3,Graduate,No,437000,1500000,10,645,1425000,25000,1740000,277000,Approved
163,3,Graduate,No,2792000,5000000,10,509,4756000,1976000,3774000,3955000,Approved
164,2,Not Graduate,No,410000,2821000,20,695,304000,969000,928000,433000,Rejected
165,1,Graduate,No,1207000,5000000,15,682,2932000,469000,3103000,1086000,Approved
166,1,Graduate,No,389000,1326000,10,812,156000,849000,1067000,623000,Approved
167,2,Graduate,No,1283000,5000000,25,722,4245000,2471000,729000,1020000,Approved
168,1,Graduate,No,899000,4499000,15,614,2974000,851000,2050000,999000,Approved
169,1,Graduate,No,632000,3617000,25,720,376000,1401000,1628000,71000,Rejected
170,0,Not Graduate,No,682000,3024000,10,531,1407000,1573000,2471000,485000,Rejected
171,4,Graduate,No,457000,2097000,10,568,1303000,990000,1752000,234000,Rejected
172,0,Graduate,No,935000,3351000,20,678,1671000,952000,951000,1662000,Approved
173,1,Not Graduate,No,521000,2715000,15,467,955000,765000,480000,47000,Rejected
174,4,Graduate,No,316000,1048000,10,647,1076000,242000,874000,447000,Approved
175,3,Graduate,No,305000,2198000,10,563,316000,99000,613000,465000,Rejected
176,2,Not Graduate,Yes,783000,5000000,5,659,1554000,1766000,2349000,547000,Approved
177,3,Not Graduate,No,1954000,5000000,20,558,1305000,4793000,6661000,1077000,Rejected
178,0,Graduate,Yes,777000,5000000,15,686,985000,114000,110000,289000,Rejected
179,3,Graduate,No,648000,1323000,25,652,1959000,1114000,2286000,383000,Approved
180,1,Graduate,No,843000,3428000,10,769,2186000,2001000,957000,1545000,Approved
181,5,Not Graduate,No,1636000,5000000,15,651,3695000,2486000,6349000,220000,Approved
182,1,Not Graduate,No,807000,3889000,15,585,536000,95000,1435000,759000,Rejected
183,2,Graduate,Yes,536000,3480000,20,629,1620000,20000,1836000,303000,Rejected
184,2,Not Graduate,No,1437000,5000000,25,536,1802000,1811000,1264000,2022000,Rejected
185,0,Graduate,No,925000,3959000,20,685,1861000,2174000,1987000,649000,Approved
186,1,Graduate,No,1899000,5000000,5,700,1988000,1324000,659000,1376000,Approved
187,3,Graduate,No,789000,4468000,15,860,1551000,691000,2340000,129000,Approved
188,1,Graduate,No,316000,1165000,20,597,663000,629000,1193000,577000,Rejected
189,5,Not Graduate,No,288000,820000,5,627,400000,577000,976000,307000,Rejected
190,1,Graduate,No,2047000,5000000,20,601,3928000,4829000,5636000,378000,Approved
191,2,Graduate,No,2146000,5000000,15,668,3432000,4499000,1210000,3253000,Approved
192,2,Graduate,No,623000,4829000,15,682,1577000,925000,2453000,979000,Approved
193,2,Not Graduate,No,546000,1806000,15,645,1114000,1281000,787000,518000,Approved
194,3,Graduate,No,1810000,3813000,15,742,5629000,2780000,4648000,3546000,Approved
195,3,Not Graduate,No,341000,1577000,25,598,156000,513000,397000,167000,Rejected
196,2,Graduate,No,391000,2972000,20,734,151000,15000,1301000,663000,Approved
197,2,Not Graduate,No,1063000,3008000,25,696,960000,1210000,1675000,1808000,Approved
198,2,Graduate,No,542000,1465000,20,649,368000,58000,880000,578000,Approved
199,2,Graduate,No,698000,1685000,15,623,1384000,1568000,82000,770000,Approved
200,0,Not Graduate,No,629000,4145000,20,856,592000,16000,1474000,169000,Approved
201,0,Graduate,No,872000,5000000,15,581,306000,669000,940000,270000,Rejected
202,2,Not Graduate,Yes,1748000,5000000,20,675,2105000,4348000,6459000,1529000,Approved
203,4,Graduate,Yes,742000,1721000,10,586,1432000,1475000,2340000,1366000,Rejected
204,0,Graduate,No,1064000,5000000,25,802,2751000,2015000,4057000,498000,Approved
205,2,Not Graduate,Yes,185000,868000,20,725,315000,330000,300000,181000,Rejected
206,1,Not Graduate,No,678000,1998000,20,592,2292000,87000,1818000,119000,Approved
207,2,Graduate,No,405000,1527000,20,694,380000,292000,754000,257000,Rejected
208,3,Graduate,Yes,317000,1587000,20,672,617000,633000,1156000,246000,Rejected
209,3,Not Graduate,No,396000,1575000,20,606,440000,887000,540000,763000,Approved
210,3,Graduate,Yes,563000,4402000,20,714,1622000,493000,778000,240000,Approved
211,3,Not Graduate,No,1270000,5000000,10,683,1144000,824000,1940000,313000,Approved
212,0,Graduate,No,296000,1253000,20,668,1000000,175000,604000,46000,Rejected
213,2,Graduate,No,714000,4312000,15,646,1852000,978000,2543000,763000,Approved
214,1,Not Graduate,No,511000,3017000,20,687,1064000,372000,465000,543000,Approved
215,4,Graduate,No,566000,1140000,20,669,1134000,30000,1494000,244000,Approved
216,3,Graduate,Yes,1343000,5000000,10,655,1961000,1312000,1737000,715000,Approved
217,0,Graduate,No,993000,3438000,20,596,365000,1375000,419000,667000,Approved
218,1,Not Graduate,No,1670000,5000000,15,794,5391000,2648000,6378000,114000,Approved
219,2,Graduate,No,633000,3949000,20,561,1800000,543000,2003000,1040000,Rejected
220,5,Not Graduate,No,445000,2378000,20,686,326000,349000,1697000,693000,Approved
221,0,Graduate,Yes,605000,2548000,20,623,418000,429000,1005000,408000,Approved
222,2,Graduate,No,820000,2464000,20,800,1054000,1278000,2503000,959000,Approved
223,1,Graduate,No,785000,3951000,10,573,2153000,557000,2072000,542000,Rejected
224,3,Graduate,No,346000,1355000,10,588,661000,793000,870000,35000,Rejected
225,3,Graduate,No,742000,5000000,20,568,1776000,523000,191000,890000,Rejected
226,1,Graduate,No,812000,4227000,10,677,260000,1606000,308000,1183000,Approved
227,3,Graduate,Yes,3596000,5000000,10,533,11708000,2874000,3098000,2521000,Approved
228,0,Not Graduate,No,2371000,5000000,10,609,1968000,3762000,7169000,1235000,Approved
229,3,Graduate,No,402000,2800000,15,467,531000,703000,1292000,227000,Rejected
230,1,Graduate,No,581000,1359000,25,670,1935000,253000,1525000,425000,Approved
231,2,Graduate,No,270000,1023000,10,607,714000,256000,229000,260000,Rejected
232,1,Graduate,No,477000,1178000,15,524,923000,152000,1494000,726000,Rejected
233,2,Not Graduate,No,859000,1881000,25,742,2630000,1097000,466000,376000,Approved
234,1,Not Graduate,Yes,1533000,5000000,25,539,760000,3485000,5498000,2188000,Rejected
235,2,Not Graduate,No,436000,2747000,10,718,237000,650000,698000,842000,Rejected
236,0,Graduate,Yes,458000,2634000,25,590,365000,803000,1345000,184000,Rejected
237,1,Graduate,No,173000,899000,10,786,198000,122000,132000,180000,Approved
238,3,Not Graduate,No,630000,3413000,20,714,1618000,737000,835000,475000,Approved
239,2,Not Graduate,No,351000,2047000,5,564,703000,650000,713000,429000,Rejected
240,2,Graduate,No,496000,3452000,15,572,825000,163000,1010000,877000,Rejected
241,2,Graduate,No,396000,2210000,15,701,1110000,120000,190000,704000,Approved
242,2,Not Graduate,No,658000,4271000,20,628,865000,369000,1473000,601000,Rejected
243,4,Not Graduate,No,223000,822000,5,636,128000,132000,88000,340000,Approved
244,2,Graduate,No,270000,2122000,15,758,424000,650000,1000000,283000,Approved
245,4,Graduate,No,2794000,5000000,20,586,7691000,1108000,4875000,4346000,Approved
246,4,Not Graduate,No,303000,1309000,5,658,551000,80000,549000,538000,Approved
247,2,Graduate,No,343000,2501000,25,731,1175000,118000,806000,493000,Rejected
248,1,Graduate,No,2310000,5000000,15,719,7021000,1172000,7273000,389000,Approved
249,3,Graduate,No,4626000,5000000,10,636,13096000,4264000,1717000,2444000,Approved
250,3,Graduate,No,327000,1371000,10,625,907000,161000,929000,517000,Approved
251,1,Not Graduate,No,551000,2518000,15,502,1190000,121000,2012000,49000,Rejected
252,1,Not Graduate,No,874000,5000000,10,560,2783000,299000,1584000,926000,Rejected
253,0,Graduate,Yes,2153000,5000000,20,677,4710000,4250000,327000,2670000,Approved
254,3,Graduate,No,369000,1765000,20,638,551000,480000,393000,608000,Rejected
255,3,Not Graduate,No,597000,4679000,15,656,553000,1113000,2251000,969000,Rejected
256,1,Graduate,No,1160000,5000000,15,738,3366000,512000,650000,224000,Approved
257,2,Graduate,No,929000,5000000,20,549,1382000,709000,142000,1278000,Rejected
258,3,Graduate,No,548000,1905000,15,630,1551000,1346000,2055000,872000,Approved
259,4,Graduate,No,642000,3167000,20,666,2212000,137000,2225000,164000,Approved
260,0,Not Graduate,Yes,286000,623000,25,590,451000,314000,542000,285000,Rejected
261,1,Graduate,No,600000,1232000,10,772,834000,444000,73000,790000,Approved
262,1,Not Graduate,No,589000,3671000,20,727,497000,11000,1400000,423000,Rejected
263,2,Graduate,No,814000,2206000,25,675,1482000,1124000,2674000,629000,Approved
264,0,Graduate,No,488000,2580000,20,803,1168000,671000,593000,122000,Approved
265,1,Not Graduate,No,951000,5000000,25,523,1237000,762000,736000,1484000,Rejected
266,3,Graduate,No,1352000,2965000,15,649,2507000,1596000,4905000,693000,Approved
267,2,Not Graduate,Yes,774000,3632000,20,681,1562000,758000,2395000,695000,Approved
268,0,Graduate,No,880000,5000000,15,572,1039000,1021000,1626000,930000,Rejected
269,1,Not Graduate,No,725000,5000000,5,676,272000,1537000,2631000,160000,Rejected
270,0,Graduate,No,700000,2657000,25,556,693000,1249000,1730000,623000,Rejected
271,1,Graduate,Yes,438000,3436000,15,709,1257000,307000,1656000,152000,Rejected
272,2,Graduate,No,860000,5000000,25,740,1023000,515000,432000,433000,Approved
273,0,Graduate,No,657000,3879000,20,673,226000,1191000,1184000,489000,Approved
274,0,Graduate,No,2729000,5000000,25,493,4530000,1532000,7502000,2743000,Approved
275,4,Graduate,No,1946000,5000000,25,568,4834000,4415000,3290000,1745000,Approved
276,4,Graduate,No,900000,5000000,20,698,2437000,1874000,1318000,171000,Approved
277,0,Graduate,No,426000,1627000,25,652,692000,269000,1198000,312000,Approved
278,3,Graduate,No,340000,2705000,20,421,724000,681000,837000,43000,Rejected
279,0,Graduate,No,1518000,5000000,20,756,4077000,726000,1824000,818000,Approved
280,3,Graduate,Yes,830000,4078000,20,662,2611000,52000,1520000,179000,Rejected
281,4,Not Graduate,Yes,956000,5000000,10,580,2244000,2297000,2731000,360000,Rejected
282,2,Graduate,No,225000,1157000,5,735,565000,428000,573000,232000,Approved
283,2,Graduate,No,1279000,5000000,15,592,788000,1564000,2388000,2377000,Rejected
284,1,Graduate,No,941000,5000000,15,591,1548000,1984000,1048000,404000,Rejected
285,1,Graduate,No,340000,727000,10,680,1069000,64000,186000,502000,Approved
286,2,Graduate,No,515000,1275000,20,801,419000,952000,1739000,70000,Approved
287,0,Not Graduate,No,831000,3340000,20,788,1074000,1987000,2742000,586000,Approved
288,3,Graduate,Yes,724000,5000000,20,681,1788000,1482000,1804000,603000,Rejected
289,2,Not Graduate,No,579000,2542000,25,689,1845000,625000,1348000,151000,Approved
290,0,Not Graduate,No,654000,4791000,25,717,320000,566000,413000,845000,Approved
291,2,Not Graduate,No,594000,2836000,25,543,1833000,1325000,1094000,198000,Approved
292,3,Graduate,No,773000,2886000,20,705,777000,563000,1536000,1246000,Approved
293,2,Graduate,No,1822000,5000000,10,588,5566000,4270000,3461000,2193000,Approved
294,2,Not Graduate,No,132000,708000,25,677,415000,106000,138000,197000,Approved
295,4,Not Graduate,Yes,600000,2498000,10,631,1669000,188000,350000,222000,Rejected
296,0,Graduate,No,785000,1779000,10,693,2556000,463000,2930000,525000,Approved
297,2,Graduate,No,849000,2263000,15,660,2866000,1103000,1927000,1210000,Approved
298,2,Graduate,No,550000,1560000,20,389,1793000,180000,1905000,514000,Approved
299,1,Graduate,No,223000,934000,20,665,433000,212000,607000,286000,Approved
300,5,Not Graduate,No,866000,4888000,5,705,1545000,1961000,2857000,742000,Approved
301,2,Not Graduate,No,2151000,5000000,20,688,1369000,505000,2027000,2927000,Approved
302,1,Graduate,No,258000,617000,10,641,256000,396000,132000,336000,Rejected
303,0,Graduate,No,1227000,4404000,15,790,2930000,1239000,3060000,778000,Approved
304,5,Graduate,No,565000,2515000,15,676,400000,915000,1267000,1000000,Approved
305,4,Not Graduate,No,673000,5000000,15,687,2231000,824000,320000,995000,Rejected
306,0,Not Graduate,No,353000,1538000,20,739,362000,774000,877000,65000,Approved
307,2,Graduate,No,563000,1427000,5,681,327000,567000,456000,70000,Approved
308,0,Graduate,No,1630000,5000000,10,574,1716000,2072000,851000,2358000,Rejected
309,3,Not Graduate,Yes,1022000,5000000,5,443,467000,333000,4029000,1311000,Rejected
310,2,Graduate,No,2158000,5000000,20,609,1794000,2645000,4893000,3998000,Approved
311,0,Not Graduate,Yes,1505000,5000000,25,715,3282000,432000,2086000,2058000,Approved
312,2,Graduate,No,931000,5000000,20,620,1141000,1357000,449000,425000,Approved
313,4,Graduate,No,2175000,5000000,20,718,6229000,2324000,7994000,287000,Approved
314,1,Graduate,No,931000,5000000,25,663,1485000,1823000,3516000,1013000,Approved
315,0,Graduate,No,1199000,2637000,15,759,3099000,1254000,1321000,1220000,Approved
316,4,Not Graduate,No,577000,4044000,5,625,1481000,910000,1037000,1084000,Rejected
317,0,Not Graduate,No,731000,5000000,20,690,537000,108000,1913000,1046000,Rejected
318,2,Graduate,No,445000,3338000,15,693,214000,790000,237000,803000,Rejected
319,2,Graduate,No,1332000,5000000,15,778,3989000,3188000,2923000,2032000,Approved
320,1,Not Graduate,No,325000,2186000,15,505,826000,364000,310000,435000,Rejected
321,0,Not Graduate,No,1164000,3690000,15,611,1001000,29000,1139000,1336000,Approved
322,0,Graduate,Yes,618000,3472000,15,722,1530000,933000,1515000,730000,Approved
323,0,Not Graduate,Yes,1499000,5000000,15,781,2030000,544000,1963000,1558000,Approved
324,2,Graduate,No,1140000,5000000,10,670,549000,1334000,2561000,1922000,Rejected
325,4,Not Graduate,Yes,2286000,5000000,25,625,2359000,185000,2567000,1160000,Approved
326,0,Graduate,No,1126000,4597000,20,714,3061000,1247000,2254000,2066000,Approved
327,3,Graduate,Yes,252000,831000,5,724,391000,551000,941000,288000,Approved
328,2,Not Graduate,Yes,670000,2633000,10,619,1369000,227000,1334000,605000,Approved
329,0,Not Graduate,No,327000,1957000,10,678,241000,407000,672000,151000,Rejected
330,2,Not Graduate,No,500000,3031000,5,750,298000,317000,1011000,294000,Approved
331,1,Graduate,No,1869000,5000000,5,811,1992000,1220000,6430000,2222000,Approved
332,2,Not Graduate,No,1059000,2922000,10,713,1919000,1703000,2922000,366000,Approved
333,1,Not Graduate,No,444000,3069000,20,654,1337000,831000,97000,25000,Rejected
334,3,Graduate,No,362000,2219000,20,645,993000,790000,203000,201000,Approved
